City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,21.36,86,100,6.91,CA,1707857150
1,port-aux-francais,-49.35,70.2167,46.15,88,100,21.23,TF,1707857151
2,margaret river,-33.95,115.0667,54.12,81,97,10.83,AU,1707857151
3,san antonio de pale,-1.4014,5.6325,83.89,79,100,5.17,GQ,1707857151
4,vila velha,-20.3297,-40.2925,85.95,78,0,13.8,BR,1707857151
5,tiksi,71.6872,128.8694,-13.5,99,100,4.47,RU,1707857151
6,invercargill,-46.4,168.35,61.45,63,0,7.05,NZ,1707857152
7,adamstown,-25.066,-130.1015,76.82,87,99,16.89,PN,1707857152
8,punta arenas,-53.15,-70.9167,66.22,55,75,25.32,CL,1707857152
9,dhidhdhoo,6.8833,73.1,81.64,73,47,7.47,MV,1707857103
10,ilulissat,69.2167,-51.1,-11.18,58,20,3.44,GL,1707857152
11,choyr,46.3611,108.3611,-6.09,91,10,7.96,MN,1707857153
12,bethel,41.3712,-73.414,37.02,76,100,10.36,US,1707857130
13,papatowai,-46.5619,169.4708,65.3,63,0,0.56,NZ,1707857153
14,fort bragg,35.139,-79.006,60.64,24,0,19.57,US,1707857153
15,flying fish cove,-10.4217,105.6791,76.68,94,100,3.44,CX,1707857153
16,ribeira grande,38.5167,-28.7,61.77,77,40,17.27,PT,1707857153
17,constitucion,-35.3333,-72.4167,68.18,67,2,7.72,CL,1707856857
18,college,64.8569,-147.8028,39.52,69,75,11.5,US,1707857153
19,juegang,32.3174,121.1855,50.34,91,39,7.16,CN,1707857154
20,pandan,14.0453,124.1694,76.53,86,71,15.57,PH,1707857154
21,yellowknife,62.456,-114.3525,10.42,93,75,4.61,CA,1707856995
22,cascais,38.6979,-9.4215,62.94,98,100,21.99,PT,1707857154
23,quellon,-43.1167,-73.6167,66.16,51,5,11.54,CL,1707857154
24,bredasdorp,-34.5322,20.0403,65.03,84,20,4.16,ZA,1707857154
25,xining,36.6167,101.7667,27.68,52,100,4.76,CN,1707857154
26,tura,25.5198,90.2201,59.52,34,61,2.42,IN,1707857154
27,novyy urgal,51.0736,132.5642,-8.45,99,14,2.37,RU,1707857155
28,avarua,-21.2078,-159.775,84.25,65,20,11.5,CK,1707857155
29,fale old settlement,-9.3852,-171.2468,83.64,79,99,27.49,TK,1707857155
30,hawaiian paradise park,19.5933,-154.9731,79.03,72,20,0.0,US,1707857155
31,elko,41.0002,-115.5012,42.06,65,100,1.25,US,1707857155
32,udachny,66.4167,112.4,-33.56,66,100,5.79,RU,1707857155
33,labrador city,52.9463,-66.9114,18.18,73,100,4.61,CA,1707857155
34,lebu,-37.6167,-73.65,65.39,64,73,11.23,CL,1707857155
35,bilibino,68.0546,166.4372,-38.54,100,92,1.66,RU,1707857156
36,burang,30.25,81.1667,10.99,84,97,3.69,CN,1707857156
37,touros,-5.1989,-35.4608,81.27,75,86,9.8,BR,1707857156
38,sitamau,24.0167,75.35,63.23,50,84,4.63,IN,1707857156
39,akhmim,26.5622,31.745,62.8,31,11,7.87,EG,1707857156
40,grytviken,-54.2811,-36.5092,44.28,95,100,4.56,GS,1707857156
41,sandakan,5.8402,118.1179,78.48,83,20,5.01,MY,1707857156
42,albany,42.6001,-73.9662,41.34,56,100,1.99,US,1707856974
43,iqaluit,63.7506,-68.5145,-4.27,71,75,2.3,CA,1707857156
44,tosontsengel,48.7567,98.2839,-24.93,95,84,0.18,MN,1707857157
45,quezon,7.7303,125.0989,70.66,92,47,4.27,PH,1707857157
46,smithers,54.7804,-127.1743,23.32,93,100,0.0,CA,1707857157
47,kodiak,57.79,-152.4072,38.71,93,100,21.85,US,1707857157
48,port mathurin,-19.6833,63.4167,81.5,79,84,18.41,MU,1707857157
49,dwarka,22.2394,68.9678,71.55,39,36,10.18,IN,1707857157
50,uturoa,-16.7333,-151.4333,80.8,88,100,26.19,PF,1707857157
51,badger,64.8,-147.5333,39.45,77,75,11.5,US,1707857157
52,carnarvon,-24.8667,113.6333,77.9,74,0,15.28,AU,1707857158
53,haiku-pauwela,20.9219,-156.3051,75.22,78,40,6.91,US,1707857159
54,arraial do cabo,-22.9661,-42.0278,87.66,58,40,13.8,BR,1707857159
55,shimoda,34.6667,138.95,52.11,66,0,19.86,JP,1707857159
56,nar'yan-mar,67.6713,53.087,-20.88,98,10,8.01,RU,1707857159
57,yangquan,37.8575,113.5633,43.84,56,65,5.79,CN,1707857159
58,port elizabeth,-33.918,25.5701,72.1,94,100,17.27,ZA,1707856940
59,chinde,26.8418,88.0763,48.72,38,28,5.03,NP,1707857160
60,colonia,50.9333,6.95,48.96,75,0,11.5,DE,1707857045
61,bentong town,3.5167,101.9,75.72,99,62,1.59,MY,1707857160
62,vorgashor,67.5833,63.95,-26.16,97,9,5.79,RU,1707857160
63,blackmans bay,-43.0167,147.3167,51.93,75,61,1.99,AU,1707857160
64,dudinka,69.4058,86.1778,-35.32,99,22,4.0,RU,1707857160
65,sola,-13.8833,167.55,82.26,76,24,11.88,VU,1707857160
66,kalmunai,7.4167,81.8167,77.97,87,86,11.59,LK,1707857160
67,west island,-12.1568,96.8225,82.38,74,40,10.36,CC,1707857161
68,fray luis beltran,-39.3167,-65.7667,84.43,14,7,17.36,AR,1707857161
69,teknaf,20.8624,92.3058,66.6,42,18,8.41,BD,1707857161
70,fortuna,40.5982,-124.1573,60.93,77,100,1.99,US,1707857161
71,hereford,52.0568,-2.7148,53.53,95,100,1.01,GB,1707857161
72,isangel,-19.55,169.2667,80.71,94,75,2.3,VU,1707857161
73,whitehorse,60.7161,-135.0538,25.11,74,75,11.5,CA,1707857162
74,sao francisco de paula,-29.4481,-50.5836,64.69,100,100,5.77,BR,1707857162
75,acajutla,13.5928,-89.8275,87.42,58,20,7.61,SV,1707857162
76,ljusdal,61.8288,16.0913,23.14,97,100,2.55,SE,1707857162
77,fallon,39.4735,-118.7774,51.93,50,100,3.44,US,1707857162
78,mogocha,53.7333,119.7667,-13.97,95,93,3.02,RU,1707857163
79,walvis bay,-22.9575,14.5053,65.35,77,23,1.14,,1707857163
80,enshi,30.3,109.4833,52.57,91,100,1.03,CN,1707857163
81,jamestown,42.097,-79.2353,35.19,75,100,18.41,US,1707856905
82,qaqortoq,60.7167,-46.0333,32.56,99,100,6.2,GL,1707857163
83,puerto natales,-51.7236,-72.4875,66.65,52,75,24.16,CL,1707857163
84,gadzhiyevo,69.2551,33.3362,-0.83,97,99,14.54,RU,1707857165
85,anadyr,64.75,177.4833,-17.9,75,40,13.42,RU,1707857165
86,san martin de los andes,-40.1604,-71.3486,89.65,29,14,5.88,AR,1707857165
87,puerto ayora,-0.7393,-90.3518,84.54,90,38,7.0,EC,1707857165
88,cabo san lucas,22.8909,-109.9124,75.61,56,40,9.22,MX,1707857165
89,petropavlovsk-kamchatsky,53.0452,158.6483,-5.55,88,20,8.95,RU,1707857166
90,olonkinbyen,70.9221,-8.7187,29.43,97,100,14.36,SJ,1707857166
91,vernon,50.2581,-119.2691,40.3,65,83,3.44,CA,1707857020
92,tchintabaraden,15.8969,5.7985,76.35,11,66,11.48,NE,1707857166
93,akureyri,65.6835,-18.0878,28.33,86,75,9.22,IS,1707857166
94,puerto baquerizo moreno,-0.9,-89.6,85.19,70,40,13.8,EC,1707857166
95,usinsk,65.9939,57.5281,-20.92,98,5,4.0,RU,1707857166
96,balqash,46.8481,74.995,11.41,88,100,6.17,KZ,1707857167
